From,To,Length(m),Azimuth(deg),Clino(deg)
83@byaki_06.byaki,-,9.81,28.80,1.20
83@byaki_06.byaki,-,9.70,26.90,0.90
83@byaki_06.byaki,-,10.12,23.50,0.70
83@byaki_06.byaki,-,9.96,21.60,1.20
81@byaki_06.byaki,84@byaki_06.byaki,11.55,343.40,-2.10
84@byaki_06.byaki,-,5.02,165.70,2.00
84@byaki_06.byaki,-,4.98,169.80,4.10
84@byaki_06.byaki,-,4.94,172.70,4.90
84@byaki_06.byaki,-,5.02,176.80,3.50
84@byaki_06.byaki,-,5.21,180.00,3.30
84@byaki_06.byaki,-,5.19,184.30,3.20
84@byaki_06.byaki,-,4.03,188.20,2.10
84@byaki_06.byaki,-,3.82,195.30,3.80
84@byaki_06.byaki,-,4.20,204.90,2.40
84@byaki_06.byaki,-,4.42,206.40,0.70
84@byaki_06.byaki,-,4.74,212.10,-0.80
84@byaki_06.byaki,-,5.11,218.60,0.10
84@byaki_06.byaki,-,6.02,224.40,-1.40
84@byaki_06.byaki,-,6.37,227.80,-1.50
84@byaki_06.byaki,-,0.82,86.00,9.30
84@byaki_06.byaki,-,0.86,101.50,8.50
84@byaki_06.byaki,-,2.90,118.10,12.90
84@byaki_06.byaki,-,1.13,120.40,8.80
84@byaki_06.byaki,-,1.18,129.60,-0.40
84@byaki_06.byaki,-,6.61,128.10,4.50
84@byaki_06.byaki,-,7.32,130.30,2.50
84@byaki_06.byaki,-,7.34,131.90,3.40
84@byaki_06.byaki,-,7.48,135.30,3.40
84@byaki_06.byaki,-,7.71,137.20,4.30
84@byaki_06.byaki,-,8.01,139.20,4.50
84@byaki_06.byaki,85@byaki_06.byaki,3.62,184.10,7.00
85@byaki_07.byaki,86@byaki_07.byaki,4.36,307.00,-8.40
86@byaki_07.byaki,-,4.17,308.90,1.40
86@byaki_07.byaki,-,6.37,305.00,1.40
86@byaki_07.byaki,-,7.02,298.80,1.80
86@byaki_07.byaki,-,5.09,294.00,2.30
86@byaki_07.byaki,-,5.12,287.70,1.90
86@byaki_07.byaki,-,4.84,280.10,3.20
86@byaki_07.byaki,-,5.13,273.50,3.40
86@byaki_07.byaki,-,4.80,271.30,2.40
86@byaki_07.byaki,-,12.00,267.70,4.30
86@byaki_07.byaki,-,12.11,262.70,3.60
86@byaki_07.byaki,-,10.12,259.30,3.20
86@byaki_07.byaki,-,9.68,254.40,2.90
86@byaki_07.byaki,-,9.55,247.90,3.20
86@byaki_07.byaki,-,8.80,242.00,3.00
86@byaki_07.byaki,-,9.90,236.20,2.70
86@byaki_07.byaki,-,10.69,232.60,1.60
86@byaki_07.byaki,-,10.90,230.90,1.70
86@byaki_07.byaki,-,4.24,211.50,-0.60
86@byaki_07.byaki,-,3.99,208.70,1.00
86@byaki_07.byaki,-,3.70,205.90,0.50
86@byaki_07.byaki,-,3.53,202.90,1.20
86@byaki_07.byaki,-,3.46,198.20,1.00
86@byaki_07.byaki,-,3.46,195.70,2.00
86@byaki_07.byaki,-,3.54,184.40,1.80
86@byaki_07.byaki,-,2.86,161.50,3.20
86@byaki_07.byaki,-,2.05,172.00,7.70
86@byaki_07.byaki,-,3.07,168.20,8.80
86@byaki_07.byaki,-,3.13,151.40,9.10
86@byaki_07.byaki,-,3.62,140.20,3.80
86@byaki_07.byaki,-,3.64,134.70,9.80
86@byaki_07.byaki,-,3.95,132.20,8.20
86@byaki_07.byaki,-,4.15,127.40,7.30
86@byaki_07.byaki,-,4.41,124.50,9.00
86@byaki_07.byaki,87@byaki_07.byaki,4.22,211.60,0.40
87@byaki_07.byaki,-,7.45,50.90,0.90
87@byaki_07.byaki,-,7.22,48.70,0.10
87@byaki_07.byaki,-,6.85,46.70,0.10
87@byaki_07.byaki,-,6.75,44.60,-0.10
87@byaki_07.byaki,-,5.40,40.90,-0.40
87@byaki_07.byaki,-,4.73,37.90,-0.40
87@byaki_07.byaki,-,4.48,33.30,-0.70
87@byaki_07.byaki,-,4.34,30.30,-1.00
87@byaki_07.byaki,-,4.55,26.30,-0.60
87@byaki_07.byaki,-,4.61,22.30,0.20
87@byaki_07.byaki,-,4.67,18.60,-0.20
87@byaki_07.byaki,-,4.65,17.10,0.40
87@byaki_07.byaki,-,4.49,16.60,2.40
87@byaki_07.byaki,-,6.68,3.80,1.40
87@byaki_07.byaki,-,6.54,2.20,1.70
87@byaki_07.byaki,-,6.79,2.90,-1.30
87@byaki_07.byaki,-,6.45,0.60,0.30
87@byaki_07.byaki,-,6.32,358.00,-0.40
87@byaki_07.byaki,-,6.13,355.70,0.30
87@byaki_07.byaki,-,6.14,348.80,1.40
87@byaki_07.byaki,-,6.23,351.80,1.70
87@byaki_07.byaki,-,6.29,345.50,1.50
87@byaki_07.byaki,-,6.55,343.40,1.50
87@byaki_07.byaki,-,7.78,316.90,2.40
87@byaki_07.byaki,-,8.44,313.60,2.10
87@byaki_07.byaki,-,9.14,310.50,1.80
87@byaki_07.byaki,-,9.84,309.00,1.80
87@byaki_07.byaki,-,9.99,307.60,2.80
87@byaki_07.byaki,-,16.12,305.70,-0.70
87@byaki_07.byaki,88@byaki_07.byaki,5.43,263.60,2.60
88@byaki_07.byaki,-,7.33,166.90,-1.00
88@byaki_07.byaki,-,7.36,165.40,-3.10
88@byaki_07.byaki,-,7.50,168.20,0.50
88@byaki_07.byaki,-,7.18,162.50,-0.70
88@byaki_07.byaki,-,7.00,156.70,0.40
88@byaki_07.byaki,-,7.12,152.30,0.40
88@byaki_07.byaki,-,7.54,147.30,-2.40
88@byaki_07.byaki,-,6.38,137.80,0.80
88@byaki_07.byaki,-,6.42,134.00,-7.80
88@byaki_07.byaki,-,6.41,126.00,-9.50
88@byaki_07.byaki,-,5.63,121.30,-10.40
88@byaki_07.byaki,-,5.44,113.10,-11.50
88@byaki_07.byaki,-,5.36,106.80,-10.80
88@byaki_07.byaki,-,5.29,101.30,-11.60
88@byaki_07.byaki,-,4.81,94.30,-9.60
88@byaki_07.byaki,-,5.21,88.40,-8.60
88@byaki_07.byaki,-,5.39,84.80,-8.00
88@byaki_07.byaki,-,5.55,82.80,-7.50
88@byaki_07.byaki,-,8.77,60.00,-2.00
88@byaki_07.byaki,-,8.81,59.40,-3.30
88@byaki_07.byaki,-,8.42,52.60,-2.00
88@byaki_07.byaki,-,10.87,51.30,-1.80
88@byaki_07.byaki,-,11.09,49.70,-1.40
88@byaki_07.byaki,-,11.74,48.10,-1.40
88@byaki_07.byaki,-,11.77,46.20,-0.80
88@byaki_07.byaki,-,11.24,45.10,-1.70
88@byaki_07.byaki,-,6.13,8.10,0.50
88@byaki_07.byaki,-,6.27,2.10,0.40
88@byaki_07.byaki,-,6.15,356.10,1.10
88@byaki_07.byaki,-,6.21,354.20,2.10
88@byaki_07.byaki,-,6.56,347.30,2.10
88@byaki_07.byaki,-,6.86,343.80,0.60
88@byaki_07.byaki,-,7.19,339.60,-0.10
88@byaki_07.byaki,-,7.19,343.40,-5.10
88@byaki_07.byaki,-,7.18,342.60,-3.50
88@byaki_07.byaki,351@byaki_07.byaki,8.08,173.80,1.50
351@byaki_08.byaki,-,5.15,40.80,-0.40
351@byaki_08.byaki,-,5.25,36.00,-0.70
351@byaki_08.byaki,-,5.13,31.00,-1.00
351@byaki_08.byaki,-,5.36,25.90,-1.70
351@byaki_08.byaki,-,5.41,17.80,0.10
351@byaki_08.byaki,-,15.82,17.20,-1.30
351@byaki_08.byaki,-,15.21,14.50,-1.20
351@byaki_08.byaki,-,15.01,10.50,-1.00
351@byaki_08.byaki,-,12.70,6.30,-0.80
351@byaki_08.byaki,-,13.53,1.80,-0.60
351@byaki_08.byaki,-,14.41,357.00,-0.60
351@byaki_08.byaki,-,14.28,354.20,-0.30
351@byaki_08.byaki,-,7.56,352.20,-0.80
351@byaki_08.byaki,-,6.89,348.10,-0.30
351@byaki_08.byaki,-,6.22,343.20,0.40
351@byaki_08.byaki,-,5.49,337.60,0.60
351@byaki_08.byaki,-,5.15,329.80,0.40
351@byaki_08.byaki,-,5.38,324.00,1.10
351@byaki_08.byaki,-,5.60,318.90,0.70
351@byaki_08.byaki,-,5.35,310.90,-0.90
351@byaki_08.byaki,-,6.05,300.80,-1.50
351@byaki_08.byaki,-,7.74,295.70,-1.30
351@byaki_08.byaki,-,7.51,295.50,-2.00
351@byaki_08.byaki,-,7.99,271.30,-0.70
351@byaki_08.byaki,-,7.64,267.60,-0.70
351@byaki_08.byaki,-,8.20,262.90,-0.50
351@byaki_08.byaki,-,8.27,259.90,-1.40
351@byaki_08.byaki,-,5.97,258.50,-0.70
351@byaki_08.byaki,-,5.76,254.90,-1.10
351@byaki_08.byaki,-,5.69,249.30,-2.40
351@byaki_08.byaki,-,5.54,244.30,-2.70
351@byaki_08.byaki,-,5.70,241.60,-3.10
351@byaki_08.byaki,-,6.57,239.30,-5.10
351@byaki_08.byaki,-,8.74,237.00,-6.30
351@byaki_08.byaki,-,8.43,234.90,-7.50
351@byaki_08.byaki,-,8.02,232.80,-8.40
351@byaki_08.byaki,-,8.02,230.90,-7.00
351@byaki_08.byaki,-,9.02,228.50,-5.00
351@byaki_08.byaki,-,8.01,225.00,-5.20
351@byaki_08.byaki,-,6.14,221.60,-5.60
351@byaki_08.byaki,-,5.36,218.30,-6.20
351@byaki_08.byaki,-,4.84,213.20,-6.30
351@byaki_08.byaki,-,4.56,209.00,-5.70
351@byaki_08.byaki,-,3.80,205.00,-5.90
351@byaki_08.byaki,-,3.54,200.00,-6.30
351@byaki_08.byaki,89@byaki_08.byaki,9.96,287.50,-7.40
89@byaki_08.byaki,-,10.09,96.70,6.60
89@byaki_08.byaki,-,10.72,98.80,6.20
89@byaki_08.byaki,-,10.37,103.00,5.90
89@byaki_08.byaki,-,10.01,106.10,5.70
89@byaki_08.byaki,-,10.25,107.70,5.70
89@byaki_08.byaki,-,10.31,111.70,5.00
89@byaki_08.byaki,-,10.04,114.10,6.30
89@byaki_08.byaki,-,10.18,115.10,0.90
89@byaki_08.byaki,-,9.29,124.90,6.00
89@byaki_08.byaki,-,10.22,126.50,4.00
89@byaki_08.byaki,-,10.27,128.10,4.00
89@byaki_08.byaki,-,9.88,129.70,3.40
89@byaki_08.byaki,-,9.90,132.90,3.50
89@byaki_08.byaki,-,9.80,135.40,4.00
89@byaki_08.byaki,-,9.51,137.80,4.10
89@byaki_08.byaki,-,6.61,139.30,5.80
89@byaki_08.byaki,-,5.43,140.40,10.90
89@byaki_08.byaki,-,5.33,143.60,10.70
89@byaki_08.byaki,-,5.26,147.10,11.10
89@byaki_08.byaki,-,5.14,150.20,9.90
89@byaki_08.byaki,-,3.30,152.20,14.00
89@byaki_08.byaki,-,3.00,157.20,21.40
89@byaki_08.byaki,-,3.10,161.90,19.60
89@byaki_08.byaki,-,3.32,168.00,17.70
89@byaki_08.byaki,-,3.61,173.20,16.80
89@byaki_08.byaki,-,4.02,180.30,14.60
89@byaki_08.byaki,-,4.37,187.10,13.20
89@byaki_08.byaki,-,4.40,193.40,12.10
89@byaki_08.byaki,-,4.51,200.10,12.40
89@byaki_08.byaki,-,4.82,206.00,11.50
89@byaki_08.byaki,-,5.08,210.30,12.30
89@byaki_08.byaki,-,5.77,215.70,10.90
89@byaki_08.byaki,-,5.98,226.60,8.20
89@byaki_08.byaki,-,3.31,225.50,22.20
89@byaki_08.byaki,-,3.17,232.90,16.30
89@byaki_08.byaki,-,2.81,237.30,20.70
89@byaki_08.byaki,-,2.45,243.80,21.90
89@byaki_08.byaki,-,2.55,251.30,20.20
89@byaki_08.byaki,-,3.19,259.30,18.00
89@byaki_08.byaki,-,3.67,265.40,12.40
89@byaki_08.byaki,-,3.84,267.90,12.90
89@byaki_08.byaki,-,11.56,268.20,4.20
89@byaki_08.byaki,-,11.69,269.30,3.50
89@byaki_08.byaki,-,11.53,272.20,3.50
89@byaki_08.byaki,-,11.55,273.70,3.10
89@byaki_08.byaki,-,11.11,275.20,3.10
89@byaki_08.byaki,-,11.86,278.70,2.60
89@byaki_08.byaki,-,12.34,279.30,1.80
89@byaki_08.byaki,-,12.96,280.90,1.60
89@byaki_08.byaki,-,12.78,283.20,1.20
89@byaki_08.byaki,-,13.14,285.30,1.00
89@byaki_08.byaki,-,8.08,286.90,1.70
89@byaki_08.byaki,-,5.26,286.80,5.90
89@byaki_08.byaki,-,5.20,289.30,4.80
89@byaki_08.byaki,-,4.94,293.00,4.80
89@byaki_08.byaki,-,5.01,295.30,4.40
89@byaki_08.byaki,-,5.14,299.30,3.20
89@byaki_08.byaki,-,7.05,300.30,-0.30
89@byaki_08.byaki,-,7.26,303.50,-0.70
89@byaki_08.byaki,-,6.91,317.20,0.90
89@byaki_08.byaki,-,7.04,320.10,3.10
89@byaki_08.byaki,-,7.01,322.10,3.40
89@byaki_08.byaki,-,6.89,325.30,4.50
89@byaki_08.byaki,-,6.36,330.00,5.20
89@byaki_08.byaki,-,6.08,333.40,5.10
89@byaki_08.byaki,-,5.78,338.30,6.10
89@byaki_08.byaki,-,4.79,342.50,8.10
89@byaki_08.byaki,-,4.30,346.00,12.00
89@byaki_08.byaki,-,3.32,348.70,12.90
89@byaki_08.byaki,-,3.92,356.30,16.20
89@byaki_08.byaki,-,3.76,2.40,18.70
89@byaki_08.byaki,90@byaki_08.byaki,5.59,224.30,6.10
90@byaki_08.byaki,-,7.06,40.70,1.70
90@byaki_08.byaki,-,7.17,45.30,2.40
90@byaki_08.byaki,-,7.46,50.40,2.70
90@byaki_08.byaki,-,7.99,55.50,2.70
90@byaki_08.byaki,-,8.57,61.20,2.10
90@byaki_08.byaki,-,9.30,64.20,1.70
90@byaki_08.byaki,-,5.09,74.40,5.80
90@byaki_08.byaki,-,4.84,76.80,5.60
90@byaki_08.byaki,-,4.47,81.00,5.80
90@byaki_08.byaki,-,4.22,83.90,5.90
90@byaki_08.byaki,-,4.03,87.00,5.90
90@byaki_08.byaki,-,3.56,90.70,5.90
90@byaki_08.byaki,-,2.24,92.90,6.20
90@byaki_08.byaki,-,1.57,100.10,18.10
90@byaki_08.byaki,-,1.28,102.50,19.80
90@byaki_08.byaki,-,1.05,112.30,26.10
90@byaki_08.byaki,-,1.00,153.90,24.40
90@byaki_08.byaki,-,1.30,171.80,13.60
90@byaki_08.byaki,-,1.98,183.50,4.60
90@byaki_08.byaki,-,2.27,189.40,2.00
90@byaki_08.byaki,-,2.55,196.90,1.30
90@byaki_08.byaki,-,2.50,202.70,1.30
90@byaki_08.byaki,-,2.51,209.60,1.60
90@byaki_08.byaki,-,2.53,216.40,4.80
90@byaki_08.byaki,-,2.68,221.50,3.90
90@byaki_08.byaki,-,2.78,224.20,4.20
90@byaki_08.byaki,91@byaki_08.byaki,2.92,226.80,5.70
91@byaki_08.byaki,350@byaki_08.byaki,8.50,316.00,-3.90
91@byaki_08.byaki,-,4.93,217.10,2.70
91@byaki_08.byaki,-,4.99,223.30,3.10
91@byaki_08.byaki,-,5.40,230.40,3.30
91@byaki_08.byaki,-,5.54,231.20,4.60
91@byaki_08.byaki,-,10.12,232.20,3.90
91@byaki_08.byaki,-,10.29,234.50,3.50
91@byaki_08.byaki,-,8.20,241.00,2.70
91@byaki_08.byaki,-,8.31,244.40,2.30
91@byaki_08.byaki,-,8.51,248.10,1.50
91@byaki_08.byaki,-,8.67,251.40,1.70
91@byaki_08.byaki,-,9.48,253.50,2.10
91@byaki_08.byaki,-,9.31,257.20,2.70
91@byaki_08.byaki,-,8.88,259.70,3.10
91@byaki_08.byaki,-,8.49,263.00,3.30
91@byaki_08.byaki,-,7.75,267.40,2.40
91@byaki_08.byaki,-,7.50,270.40,1.90
91@byaki_08.byaki,-,7.45,271.80,2.10
91@byaki_08.byaki,-,6.24,273.10,4.80
91@byaki_08.byaki,-,6.05,275.00,5.40
91@byaki_08.byaki,-,5.99,278.00,5.30
91@byaki_08.byaki,-,5.90,283.40,4.90
91@byaki_08.byaki,-,5.69,285.70,4.60
91@byaki_08.byaki,-,5.65,289.10,5.50
91@byaki_08.byaki,-,4.95,290.60,4.50
91@byaki_08.byaki,-,4.79,292.60,3.70
91@byaki_08.byaki,-,5.34,297.80,-0.10
91@byaki_08.byaki,-,5.23,299.80,-0.30
91@byaki_08.byaki,-,5.35,303.90,0.00
91@byaki_08.byaki,-,5.55,306.30,-0.20
91@byaki_08.byaki,-,9.83,308.90,-2.10
91@byaki_08.byaki,-,8.37,311.30,-2.30
91@byaki_08.byaki,-,8.36,313.00,-2.90
91@byaki_08.byaki,-,8.49,315.50,-3.70
91@byaki_08.byaki,-,8.85,318.70,-3.40
91@byaki_08.byaki,-,8.88,321.20,-3.20
91@byaki_08.byaki,-,8.81,322.90,-2.90
91@byaki_08.byaki,-,12.48,324.80,-3.40
91@byaki_08.byaki,-,4.38,344.10,0.60
91@byaki_08.byaki,-,3.84,347.50,1.10
91@byaki_08.byaki,-,3.22,351.40,1.90
91@byaki_08.byaki,-,2.99,356.60,1.50
91@byaki_08.byaki,-,2.79,3.80,0.10
91@byaki_08.byaki,-,2.84,13.00,-0.60
91@byaki_08.byaki,-,2.85,20.30,-2.50
91@byaki_08.byaki,-,2.28,27.40,0.40
91@byaki_08.byaki,-,2.29,35.80,-2.70
91@byaki_08.byaki,-,2.43,39.30,2.10
91@byaki_08.byaki,-,3.13,60.20,-1.20
91@byaki_08.byaki,-,2.66,63.00,-0.90
91@byaki_08.byaki,-,2.28,68.60,-2.00
91@byaki_08.byaki,-,2.15,74.60,-2.80
91@byaki_08.byaki,-,2.03,81.40,-4.00
91@byaki_08.byaki,-,1.83,89.30,-6.20
91@byaki_08.byaki,-,2.79,272.40,-5.90
91@byaki_08.byaki,-,4.44,235.40,-0.90
91@byaki_08.byaki,-,4.40,238.50,0.30
91@byaki_08.byaki,-,4.32,242.40,-2.10
91@byaki_08.byaki,-,4.58,248.10,-3.30
91@byaki_08.byaki,-,4.76,255.40,-3.10
91@byaki_08.byaki,-,4.07,262.10,-3.80
91@byaki_08.byaki,-,3.74,266.70,-4.10
91@byaki_08.byaki,-,2.69,271.40,-6.20
91@byaki_08.byaki,-,2.39,279.50,-6.70
91@byaki_08.byaki,-,2.15,288.30,-5.70
91@byaki_08.byaki,-,2.34,294.00,-1.10
91@byaki_08.byaki,-,2.24,298.10,-2.90
91@byaki_08.byaki,-,2.28,305.00,-2.70
91@byaki_08.byaki,-,2.25,310.20,-5.60
91@byaki_08.byaki,-,2.18,316.90,-7.20
91@byaki_08.byaki,-,1.97,323.40,-7.00
91@byaki_08.byaki,-,1.86,332.20,-5.20
91@byaki_08.byaki,-,2.12,341.50,-3.40
91@byaki_08.byaki,-,1.81,349.70,-4.40
91@byaki_08.byaki,-,1.46,359.40,-14.90
91@byaki_08.byaki,-,1.48,10.90,-14.00
350@byaki_08.byaki,-,6.38,153.10,1.20
350@byaki_08.byaki,-,6.24,149.70,2.10
350@byaki_08.byaki,-,6.17,145.10,2.70
350@byaki_08.byaki,-,5.98,139.30,1.00
350@byaki_08.byaki,-,5.92,135.40,1.00
350@byaki_08.byaki,-,5.49,129.10,1.60
350@byaki_08.byaki,-,6.23,123.60,1.50
350@byaki_08.byaki,-,5.74,118.40,1.70
350@byaki_08.byaki,-,5.26,154.90,-0.40
91@byaki_08.byaki,92@byaki_08.byaki,2.38,292.60,0.90
92@byaki_08.byaki,-,2.98,30.10,-0.10
92@byaki_08.byaki,-,3.03,36.10,-0.50
92@byaki_08.byaki,-,2.94,44.60,0.10
92@byaki_08.byaki,-,3.36,52.40,-1.30
92@byaki_08.byaki,-,3.62,59.10,-1.60
92@byaki_08.byaki,-,3.70,66.20,-2.50
92@byaki_08.byaki,-,3.47,71.10,-2.30
92@byaki_08.byaki,-,3.29,74.30,-1.80
92@byaki_08.byaki,-,5.28,78.80,-2.90
92@byaki_08.byaki,-,4.82,82.00,-3.00
92@byaki_08.byaki,-,4.49,87.00,-3.30
92@byaki_08.byaki,-,4.29,91.90,-2.30
92@byaki_08.byaki,-,4.25,96.20,-1.80
92@byaki_08.byaki,-,4.06,101.80,-2.50
92@byaki_08.byaki,-,3.87,106.30,-3.40
92@byaki_08.byaki,-,2.82,107.80,-2.40
92@byaki_08.byaki,-,2.44,111.20,-2.60
92@byaki_08.byaki,-,2.46,115.30,-2.90
92@byaki_08.byaki,-,2.53,122.90,-3.30
92@byaki_08.byaki,-,2.58,130.70,-2.40
92@byaki_08.byaki,-,2.83,135.10,-2.40
92@byaki_08.byaki,-,3.17,140.30,-2.50
92@byaki_08.byaki,-,3.67,142.20,-4.70
92@byaki_08.byaki,-,5.46,143.30,-5.70
92@byaki_08.byaki,-,6.74,144.70,-5.60
92@byaki_08.byaki,-,7.06,147.30,-5.70
92@byaki_08.byaki,-,5.99,149.60,-5.60
92@byaki_08.byaki,-,5.65,151.40,-4.90
92@byaki_08.byaki,-,5.83,153.80,-5.10
92@byaki_08.byaki,-,10.49,155.80,-5.30
92@byaki_08.byaki,-,10.32,157.30,-5.40
92@byaki_08.byaki,-,10.41,158.70,-5.70
92@byaki_08.byaki,-,10.72,160.90,-4.80
92@byaki_08.byaki,-,11.44,162.30,-4.80
92@byaki_08.byaki,-,10.48,163.10,-4.70
92@byaki_08.byaki,-,9.07,175.20,-5.90
92@byaki_08.byaki,-,8.46,176.20,-6.20
92@byaki_08.byaki,-,8.05,178.70,-6.50
92@byaki_08.byaki,-,7.69,180.70,-6.60
92@byaki_08.byaki,-,7.32,182.50,-8.40
92@byaki_08.byaki,-,6.37,184.80,-8.60
92@byaki_08.byaki,-,6.12,187.30,-9.00
92@byaki_08.byaki,-,6.18,191.40,-10.20
92@byaki_08.byaki,-,4.85,197.90,-10.50
92@byaki_08.byaki,-,4.51,201.60,-9.10
92@byaki_08.byaki,-,4.56,201.30,7.20
92@byaki_08.byaki,-,4.85,206.80,6.10
92@byaki_08.byaki,-,6.20,210.20,5.90
92@byaki_08.byaki,-,7.21,214.60,4.90
92@byaki_08.byaki,-,8.55,217.80,4.90
92@byaki_08.byaki,-,6.45,220.90,4.30
92@byaki_08.byaki,-,6.86,226.50,5.20
92@byaki_08.byaki,-,6.98,230.70,4.50
92@byaki_08.byaki,-,6.86,234.10,3.80
92@byaki_08.byaki,-,7.00,238.30,3.20
92@byaki_08.byaki,-,7.99,238.90,4.80
92@byaki_08.byaki,-,7.73,243.00,4.10
92@byaki_08.byaki,-,7.41,246.40,3.90
92@byaki_08.byaki,-,7.36,249.90,3.60
92@byaki_08.byaki,-,6.25,253.60,3.70
92@byaki_08.byaki,-,5.52,259.30,3.30
92@byaki_08.byaki,-,5.26,262.90,3.90
92@byaki_08.byaki,-,3.92,265.30,5.20
92@byaki_08.byaki,-,3.65,272.30,5.10
92@byaki_08.byaki,-,3.51,279.90,6.20
92@byaki_08.byaki,-,3.11,287.40,4.40
92@byaki_08.byaki,-,2.96,297.00,-2.10
92@byaki_08.byaki,-,2.94,306.80,-0.80
92@byaki_08.byaki,-,3.07,311.30,-1.10
92@byaki_08.byaki,-,3.12,315.70,0.20
92@byaki_08.byaki,93@byaki_08.byaki,7.71,215.60,5.00
93@byaki_08.byaki,94@byaki_08.byaki,0.71,281.60,-21.10
94@byaki_08.byaki,-,1.75,248.60,-25.70
94@byaki_08.byaki,-,1.60,246.90,-25.30
94@byaki_08.byaki,-,1.60,232.60,-23.70
94@byaki_08.byaki,-,1.05,251.00,-3.20
94@byaki_08.byaki,-,0.56,287.90,-4.10
94@byaki_08.byaki,-,1.75,250.00,-25.80
94@byaki_08.byaki,-,1.80,251.20,-22.40
92@byaki_08.byaki,95@byaki_08.byaki,8.84,169.50,-2.40
95@byaki_08.byaki,-,2.83,4.60,-1.00
95@byaki_08.byaki,-,6.11,6.40,-1.10
95@byaki_08.byaki,-,5.52,9.50,-1.60
95@byaki_08.byaki,-,6.46,4.80,-1.80
95@byaki_08.byaki,-,5.51,8.20,-1.90
95@byaki_08.byaki,-,5.24,15.00,-2.00
95@byaki_08.byaki,-,3.27,15.40,-4.80
95@byaki_08.byaki,-,3.17,18.10,-2.50
95@byaki_08.byaki,-,3.20,21.60,-2.50
95@byaki_08.byaki,-,3.37,25.10,-2.90
95@byaki_08.byaki,-,5.98,28.40,-0.20
95@byaki_08.byaki,-,6.22,30.40,-0.00
95@byaki_08.byaki,-,6.35,32.90,0.90
95@byaki_08.byaki,-,7.62,36.40,2.00
95@byaki_08.byaki,-,8.28,37.70,1.40
95@byaki_08.byaki,-,9.64,39.60,1.70
95@byaki_08.byaki,-,4.98,44.40,2.40
95@byaki_08.byaki,-,4.84,46.50,3.10
95@byaki_08.byaki,-,4.82,50.80,3.00
95@byaki_08.byaki,-,4.66,55.80,4.10
95@byaki_08.byaki,-,5.39,59.90,5.50
95@byaki_08.byaki,-,5.15,65.40,5.40
95@byaki_08.byaki,-,5.15,70.00,5.20
95@byaki_08.byaki,-,5.04,75.20,4.90
95@byaki_08.byaki,-,4.90,80.90,3.70
95@byaki_08.byaki,-,5.04,87.20,2.00
95@byaki_08.byaki,-,6.17,92.30,2.00
95@byaki_08.byaki,-,5.65,95.60,1.30
95@byaki_08.byaki,-,6.10,103.60,0.60
95@byaki_08.byaki,-,5.65,108.50,1.20
95@byaki_08.byaki,-,5.53,110.70,1.90
95@byaki_08.byaki,-,2.91,112.20,0.50
95@byaki_08.byaki,-,2.60,118.10,-0.90
95@byaki_08.byaki,-,2.19,124.90,-1.30
95@byaki_08.byaki,-,2.05,136.30,-4.70
95@byaki_08.byaki,-,3.31,138.00,-8.20
95@byaki_08.byaki,-,3.81,143.70,-4.90
95@byaki_08.byaki,-,10.15,147.10,-3.00
95@byaki_08.byaki,-,10.32,152.50,-4.80
95@byaki_08.byaki,-,10.48,155.40,-3.80
95@byaki_08.byaki,-,10.64,158.30,-2.70
95@byaki_08.byaki,-,14.67,160.10,-2.20
95@byaki_08.byaki,-,14.54,161.70,-2.70
95@byaki_08.byaki,-,14.20,166.30,-2.50
95@byaki_08.byaki,-,14.29,169.80,-2.30
95@byaki_08.byaki,-,14.22,172.50,-2.30
95@byaki_08.byaki,-,14.14,175.70,-2.70
95@byaki_08.byaki,-,14.72,181.10,-2.90
95@byaki_08.byaki,-,15.73,185.40,-2.30
95@byaki_08.byaki,-,5.03,190.00,-1.90
95@byaki_08.byaki,-,4.63,193.30,-4.10
95@byaki_08.byaki,-,3.05,198.90,-7.20
95@byaki_08.byaki,-,2.70,207.40,-7.10
95@byaki_08.byaki,-,2.47,224.30,-8.20
95@byaki_08.byaki,-,1.68,249.50,-8.30
95@byaki_08.byaki,96@byaki_08.byaki,10.77,160.50,-1.80
96@byaki_08.byaki,97@byaki_08.byaki,12.44,238.60,-2.20
97@byaki_08.byaki,320@byaki_08.byaki,9.07,165.30,6.80
97@byaki_08.byaki,-,3.62,77.20,14.30
97@byaki_08.byaki,-,3.73,82.90,14.00
97@byaki_08.byaki,-,3.98,91.40,13.60
97@byaki_08.byaki,-,4.33,100.30,13.40
97@byaki_08.byaki,-,4.22,109.40,12.20
97@byaki_08.byaki,-,4.48,122.70,11.70
97@byaki_08.byaki,-,5.29,134.10,11.00
97@byaki_08.byaki,-,5.53,146.00,8.80
97@byaki_08.byaki,-,5.75,148.30,9.60
97@byaki_08.byaki,-,4.88,179.10,10.80
97@byaki_08.byaki,-,4.71,184.10,10.60
97@byaki_08.byaki,-,4.78,190.30,10.10
97@byaki_08.byaki,-,5.04,197.20,9.60
97@byaki_08.byaki,-,5.13,200.50,9.60
97@byaki_08.byaki,-,4.99,194.20,10.30
97@byaki_08.byaki,-,4.72,189.80,11.10
97@byaki_08.byaki,-,3.65,79.40,13.40
97@byaki_08.byaki,-,3.81,85.20,11.50
97@byaki_08.byaki,-,4.25,98.00,13.30
97@byaki_08.byaki,-,4.19,108.50,12.30
97@byaki_08.byaki,-,4.15,117.40,12.20
